Species	HomeRange
Lepilemur_sahamalaza	0.00493913
Leptailurus_serval	20.21431973
Leptonychotes_weddellii	96.05
Leptonycteris_yerbabuenae	17.07586207
Lepus_alleni	0.486480488
Lepus_americanus	0.082532773
Lepus_arcticus	1.125384615
Lepus_californicus	0.36697585
Lepus_europaeus	0.69566962
Lepus_flavigularis	0.29568
Lepus_granatensis	0.309111765
Lepus_nigricollis	0.0139
Lepus_timidus	0.432244387
Lepus_townsendii	0.729450056
Lobodon_carcinophaga	213654.2985
Lonchophylla_dekeyseri	6.25
Lontra_canadensis	11.5825
Lontra_felina	0.169264286
Lophocebus_albigena	0.884240357
Lophostoma_silvicolum	2.8325
Loris_lydekkerianus	0.014340625
Loxodonta_africana	1008.985759
Loxodonta_cyclotis	382.8895385
Lutra_lutra	0.352321429
Lycalopex_culpaeus	4.171612903
Lycalopex_griseus	1.34625
Lycalopex_vetulus	3.6725
Lycaon_pictus	232.1560989
Lynx_canadensis	66.71953333
Lynx_lynx	466.0925215
Lynx_pardinus	6.038347107
Lynx_rufus	21.8214256
Macaca_assamensis	1.402666667
Macaca_fascicularis	0.368426
Macaca_fuscata	5.390695501
Macaca_leonina	1.249662738
Macaca_maura	0.233584615
Macaca_nemestrina	1.15
Macaca_nigra	1.504920635
Macaca_radiata	0.971227389
Macaca_siberu	0.7038
Macaca_silenus	0.309583333
Macaca_sylvanus	0.311421053
Macaca_thibetana	0.34
Macaca_tonkeana	0.570416667
Macroderma_gigas	0.6083
Macroglossus_minimus	0.026576364
Macronycteris_commersoni	0.3675
Macrophyllum_macrophyllum	0.400063636
Macropus_agilis	0.10609375
Macropus_antilopinus	0.642
Macropus_dorsalis	0.7175
Macropus_fuliginosus	0.445833333
Macropus_giganteus	0.367377778
Macropus_parryi	0.660540541
Macropus_robustus	0.859384615
Macropus_rufogriseus	0.1646
Macropus_rufus	1.927314286
Macroscelides_micus	0.12891
Macroscelides_proboscideus	0.010666667
Macrotis_lagotis	1.42175
Madoqua_guentheri	0.042562791
Mandrillus_sphinx	66.333375
Manis_pentadactyla	0.2445
Marmosa_demerarae	0.00697619
Marmosops_incanus	0.001442094
Marmosops_paulensis	0.0039775
Marmota_caudata	0.03
Marmota_flaviventris	0.032806383
Marmota_marmota	0.014338806
Marmota_monax	0.060206516
Marmota_vancouverensis	0.682
Martes_americana	5.92299466
Martes_foina	0.779853303
Martes_martes	1.543940672
Martes_pennanti	32.40827273
Martes_zibellina	1.11
Mastacomys_fuscus	0.003281593
Mastomys_natalensis	0.000418929
Maxomys_rajah	0.000669567
Maxomys_whiteheadi	0.000573133
Mazama_gouazoubira	0.489636364
Megaloglossus_woermanni	0.567277778
Megaptera_novaeangliae	39937.80769
Meles_anakuma	0.303
Meles_meles	1.431247122
Mellivora_capensis	265.9078947
Melogale_moschata	1.0237
Melomys_cervinipes	0.004423462
Melonycteris_melanops	0.022861111
Melursus_ursinus	3.934333333
Mephitis_mephitis	1.600545661
Meriones_hurrianae	0.000134267
Meriones_unguiculatus	0.0002863
Metachirus_nudicaudatus	0.0059065
Mico_argentatus	0.048866667
Mico_humeralifer	0.135625
Microcavia_australis	0.005131333
Microcebus_berthae	0.027428477
Microcebus_griseorufus	0.005534615
Microcebus_murinus	0.02100398
Microcebus_ravelobensis	0.0057375
Microcebus_sambiranensis	0.011455556
Micronycteris_microtis	0.020833333
Microtus_agrestis	0.001059566
Microtus_arvalis	0.000030359
Microtus_breweri	0.000135538
Microtus_cabrerae	0.0002828
Microtus_californicus	0.001641051
Microtus_canicaudus	8.69571E-05
Microtus_duodecimcostatus	0.002422
Microtus_lusitanicus	0.000497214
Microtus_miurus	0.0009561
Microtus_montanus	0.000066275
Microtus_ochrogaster	0.000220167
Microtus_oeconomus	0.00062377
Microtus_oregoni	0.00083207
Microtus_pennsylvanicus	0.000615244
Microtus_tatricus	0.000700397
Microtus_townsendii	0.000131667
Miniopterus_schreibersii	2610.56548
Mirounga_leonina	491662.0367
Mirza_coquereli	0.068625
Monodelphis_americana	0.00044
Monodon_monoceros	12722.28788
Mops_condylurus	13.13666667
Moschus_moschiferus	0.913333333
Mungos_mungo	0.677811538
Mungotictis_decemlineata	0.4432
Muntiacus_muntjak	0.4804
Muntiacus_reevesi	0.148884615
Mus_musculus	0.002994104
Mus_spicilegus	0.00030625
Mus_spretus	0.000362962
Muscardinus_avellanarius	0.006403226
Mustela_erminea	0.755378902
Mustela_frenata	0.690770833
Mustela_nigripes	0.753235294
Mustela_nivalis	0.331061224
Mustela_putorius	1.145634783
Myocastor_coypus	0.2758
Myodes_californicus	0.00186225
Myodes_gapperi	0.006157004
Myodes_glareolus	0.000879568
Myodes_regulus	0.014123143
Myodes_rufocanus	0.001282
Myopus_schisticolor	0.001028
Myotis_atacamensis	0.110458333
Myotis_bechsteinii	1.657035714
Myotis_capaccinii	200.5
Myotis_dasycneme	164.3516
Myotis_daubentonii	28.5
Myotis_emarginatus	11.21430769
Myotis_evotis	1.181
Myotis_frater	0.85
Myotis_grisescens	109.6103261
Myotis_lucifugus	4.218625
Myotis_myotis	81.43
Myotis_petax	5.52
Myotis_septentrionalis	0.622654545
Myotis_sibiricus	3.6
Myotis_sodalis	4.576129907
Myotis_volans	2.704666667
Myrmecobius_fasciatus	0.359333333
Myrmecophaga_tridactyla	7.566701735
Mystacina_sp.	40.42
Mystacina_tuberculata	3.586507692
Myzopoda_aurita	0.426194444
Naemorhedus_caudatus	0.476428571
Nanger_dama	55.61958333
Napaeozapus_insignis	0.010788465
Nasalis_larvatus	0.694592958
Nasua_narica	2.138813417
Nasua_nasua	3.876060606
Necromys_lasiurus	0.003907021
Nectomys_squamipes	0.005625534
Neofelis_nebulosa	23.4
Neofiber_alleni	0.001667
Neomonachus_schauinslandi	3946.20942
Neophoca_cinerea	1537.4
Neotamias_amoenus	0.010499258
Neotamias_minimus	0.01368773
Neotamias_quadrivittatus	0.026608571
Neotamias_townsendii	0.007679882
Neotamias_umbrinus	0.018838462
Neotoma_fuscipes	0.010236741
Neotoma_lepida	0.000511333
Neotoma_macrotis	0.0001819
Neotoma_magister	0.006342857
Neotoma_micropus	0.000217367
Neovison_vison	1.995509091
Nesomys_audeberti	0.0095
Nesomys_rufus	0.005
Nesoryzomys_swarthi	0.018915667
Noctilio_albiventris	1.408125
Nomascus_concolor	0.846629032
Nomascus_nasutus	1.07375
Notomys_aquilo	0.0284
Nyctalus_lasiopterus	554.6923077
Nyctereutes_procyonoides	2.316356364
Nycteris_thebaica	0.1186
Nycticebus_bengalensis	0.0082
Nycticebus_coucang	0.064368421
Nycticebus_javanicus	0.0536
Nycticeius_humeralis	2.764625072
Nyctinomops_macrotis	295.9
Ochotona_collaris	0.002509004
Ochotona_curzoniae	0.00094179
Ochotona_princeps	0.001385801
Ochrotomys_nuttalli	0.003641644
Octodon_degus	0.00674966
Octodon_lunatus	0.1344935
Octomys_mimax	0.012889
Odocoileus_hemionus	31.16625456
Odocoileus_virginianus	1.876858294
Oecomys_bicolor	0.00165
Oecomys_concolor	0.00135
Oligoryzomys_eliurus	0.003007
Oligoryzomys_flavescens	0.004087055
Oligoryzomys_longicaudatus	0.00191565
Oligoryzomys_nigripes	0.0025125
Ondatra_zibethicus	0.008045273
Onychogalea_fraenata	0.33
Onychomys_leucogaster	0.017255556
Onychomys_torridus	0.016242857
Orcaella_heinsohni	32.28883117
